area,source,size_m2,price_jod,price_per_m2,title
دابوق,qoshan,160,225000,1406,رووف مميز١٦٠ متر مع تراسات١٨٠ متر
دابوق,qoshan,250,185000,740,شقة 250م مع حديقة كبيرة في مناطق دابوق الهادئة
دابوق,qoshan,331,265000,801,رووف مفروش بالكامل في أرقى مناطق دابوق
دابوق,qoshan,163,170000,1043,شقة طابق أول 163 متر في دابوق
دابوق,qoshan,160,160000,1000,مساحات صغيرة بأجمل مناطق دابوق
دابوق,qoshan,190,160000,842,شقة فاخرة و مفروشة للبيع بمساحة 190م في دابوق
دابوق,qoshan,170,285000,1676,رووف مميز للبيع بمساحة 170م+ 140م ترسات في دابوق
دابوق,qoshan,345,465000,1348,شقة طابقية أرضية بمساحة 315م مميزة في دابوق
دابوق,qoshan,310,445000,1435,شقة طابقية 310م ضمن سكن خاص في دابوق
دابوق,qoshan,325,150000,462,شقة مميزة للبيع بمساحة 186 م بدابوق
دابوق,bayut,500,170000,340,2 Bedrooms Apartment For Sale in Dabouq
دابوق,bayut,275,275000,1000,"4 Bedrooms Apartment For Sale Dabouq, Amman"
دابوق,bayut,160,220000,1375,Ground floor with terrace for sale in Dabouq 160m
دابوق,bayut,165,220000,1333,Ground floor with garden for sale in Dabouq 165m
دابوق,bayut,165,195000,1182,1st floor apartment for sale in Dabouq 165m
دابوق,bayut,165,240000,1455,Flat roof with terrace 2024 for sale in Dabouq 395m
دابوق,bayut,250,315000,1260,1st floor apartment for sale in Dabouq with a building area of 250m
دابوق,bayut,290,360000,1241,Apartments with garden for sale in Dabouq 290m
دابوق,bayut,230,275000,1196,1st floor for sale in Dabouq 230m
دابوق,bayut,550,550000,1000,Duplex ground floor with swimming pool for sale in Dabouq 550m
دابوق,bayut,186,165000,887,Apartment with terrace for sale in Dabouq 186m
دابوق,bayut,280,315000,1125,Apartment with swimming pool under finishing for sale in Dabouq 280m
دابوق,bayut,195,125000,641,Apartment For Sale In Dair Ghbar
دابوق,bayut,175,130000,743,Apartment For Sale In Dair Ghbar
دابوق,bayut,560,550000,982,Flat roof with terrace 2024 for sale in Dabuq 560m
دابوق,bayut,250,350000,1400,Ground floor with terrace 2024 for sale in Dabouq 250m
دابوق,bayut,250,350000,1400,1st floor apartment for sale in Dabouq under construction 250m
دابوق,bayut,250,350000,1400,Apartment with garden for sale in Dabouq 250m
دابوق,bayut,215,300000,1395,ground floor with garden for sale in Dabouq 215m
دابوق,bayut,425,325000,765,Flat roof with terrace for sale in Dabouq 425m
دابوق,bayut,195,205000,1051,1st floor apartment for sale in Dabouq with a modern design
دابوق,bayut,225,230000,1022,Ground floor with terrace for sale in Dabouq building area of 225m
دابوق,bayut,250,230000,920,Brand new 1st floor for sale in Dabouq with a building area of 250m
دابوق,bayut,475,350000,737,Flat roof with terrace for sale in Dabouq with a total area of 475m
دابوق,bayut,180,225000,1250,Flat roof with terrace 2022 for sale in Dabouq total area 385m
دابوق,bayut,240,310000,1292,Luxurious Flat apartment for sale in Dabouq 340m
دابوق,bayut,300,280000,933,Roof with terrace 2023 for for-sale in Dabouq total area of 204m
دابوق,bayut,380,380000,1000,Apartment with terraces for for-sale in Dabouq building area of 380m
دابوق,bayut,364,435000,1195,Flat ground floor apartment for for-sale in Dabouq building area of 364m
دابوق,bayut,200,165000,825,Apartment in final finishing for for-sale in Dabouq building area 200m
دابوق,bayut,190,155000,816,Apartment under final finishing for for-sale in Dabouq building area 190m
دابوق,bayut,350,465000,1329,Ground floor with terrace 2023 for for-sale in Dabouq building area of 350m
دابوق,bayut,420,675000,1607,Flat roof with terrace for for-sale in Dabuq total building area of 700m
دابوق,bayut,642,530000,826,Ground floor with swimming pool for for-sale in Dabouq building area of 640m
دابوق,bayut,367,360000,981,Flat third floor apartment for for-sale in Dabouq building area of 367m
دابوق,bayut,366,325000,888,First floor apartment for for-sale in Dabouq building area of 366m
دابوق,bayut,344,320000,930,Flat apartment with a garden for for-sale in Dabouq building area of 344m
دابوق,bayut,195,270000,1385,Ground floor with terrace for for-sale in Dabouq building area of 195m
دابوق,bayut,195,250000,1282,first floor (modern construction) for for-sale in Dabouq building area 195m
دابوق,bayut,200,330000,1650,Flat roof with terrace for for-sale in Dabouq building area of 200m
دابوق,bayut,195,260000,1333,Apartment with garden for for-sale in Dabouq building area of 195m
دابوق,bayut,195,270000,1385,Ground floor with terrace for for-sale in Dabouq building area of 195m
دابوق,bayut,230,300000,1304,Ground floor with terrace for for-sale in Dabouq building area of 230mm
دابوق,bayut,225,360000,1600,Luxurious flat roof with terrace under final finishing in Dabouq
دابوق,bayut,552,450000,815,duplex apartment with garden for for-sale in Dabouq building area of 552m
دابوق,bayut,200,165000,825,Apartment For Sale In Dabouq
دابوق,bayut,186,185000,995,"Brand new first floor apartment for sale in Dabouq, building area 186 m"
دابوق,bayut,180,235000,1306,"Flat floor roof  for sale in the most prestigious areas of Dabouq, with a total area of 400 m, new uninhabited"
دابوق,bayut,207,290000,1401,Flat First floor apartment for sale in Dabouq with a building area of 350 m
دابوق,bayut,207,340000,1643,"Ground floor apartment with swimming pool for sale in Dabouq, building area 207m, terrace area 120m"
دابوق,bayut,265,265000,1000,"brand new first floor apartment for sale in Dabouq, building area 265 m"
دابوق,bayut,300,370000,1233,"flat roof for sale in the most prestigious areas of Dabouq, with a total building area 550m"
دابوق,bayut,250,260000,1040,Newly built first floor apartment for sale in dabouq with a total building area of 250 m
دابوق,bayut,250,290000,1160,A newly built ground floor apartment for sale in dabouq with a total built up area of 275 m
دابوق,bayut,380,350000,921,Flat ground floor apartment with a private entrance for sale in Dabouq with an area of 380 m
دابوق,bayut,346,240000,694,"Roof duplex with top roof for sale in Dabouq , total build up area 200 m"
دابوق,bayut,200,195000,975,"Last floor duplex apartment with roof for sale in Dabouq with a private elevator, total builtup area of 200 m"
دابوق,bayut,150,135000,900,"First floor apartment for sale in Dabouq, building area 150 m"
دابوق,bayut,305,365000,1197,first flat Floor and duplex with roof apartment for sale in the finest areas of  Dabouq building area 305 m terrace area 150 m
دابوق,bayut,210,185000,881,"First floor apartment for sale in Dabouq, building area 210m"
دابوق,bayut,210,185000,881,"Apartment with garden and terrace for sale in Dabouq, building area of 210 m, and garden of 270 m"
دابوق,bayut,220,140000,636,"Roof for sale in Dabouq with a terrace, with a total area of 220 m"
دابوق,bayut,220,140000,636,Last floor apartment with roof and terrace for sale in Dabouq building area 220m
دابوق,bayut,210,185000,881,"First floor apartment for sale in Dabouq, building area 210m"
دابوق,bayut,210,190000,905,"Ground floor apartment with terrace for sale in Dabouq, building area 210 m, external area 55 m"
دابوق,bayut,210,195000,929,"Ground floor apartment with terrace for sale in Dabouq, building area 210 m, external area 55 m"
