area,floor_type,size_m2,price_jod,price_per_m2,source,title,url
دابوق,أرضي,275,275000,1000,السوق المفتوح,شقة دوبلكس أرضية للبيع دابوق مساحة 275م 4 نوم مع ترس وحديقة 250م تشطيبات سوبر ديلوكس جديدة لم تسكن,
دابوق,أرضي,260,270000,1038,السوق المفتوح,دابوق/شقة أرضي دوبلكس260متر مع تراسات 300متر وكراج ومداخل خاصة لم تسكن -الرقم المرجعي 14709,
دابوق,أرضي,230,269000,1170,قوشان,شقة أرضية مع ترس و مدخل و كراج مستقل في أجمل أحياء دابوق,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%a2%d9%a3%d9%a0%d9%85-%d9%85%d8%b9-%d8%aa%d8%b1%d8%b3-%d9%a5%d9%a0%d9%85-%d9%88-%d9%85%d8%af%d8%ae%d9%84-%d9%88-%d9%83%d8%b1%d8%a7%d8%ac-%d9%85/
دابوق,أرضي,345,465000,1348,قوشان,شقة طابقية أرضية بمساحة 315م مميزة في دابوق,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%a8%d9%85%d8%b3%d8%a7%d8%ad%d8%a9-315%d9%85-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8/
دابوق,أرضي,,,,قوشان,شقق أرضية 3 و 4 نوم مع حدائق واسعة في دابوق,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-3-%d9%88-4-%d9%86%d9%88%d9%85-%d9%85%d8%b9-%d8%ad%d8%af%d8%a7%d8%a6%d9%82-%d9%88%d8%a7%d8%b3%d8%b9%d8%a9-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
دابوق,أرضي,,,,قوشان,شقق أرضية 3-4 نوم بإطلالة مميزة في دابوق,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-3-4-%d9%86%d9%88%d9%85-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
دابوق,أرضي,240,,,قوشان,شقق أرضية مع حديقة ومدخل خاص في دابوق,https://qoshan.com/property/%d8%b4%d9%82%d9%82-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%88%d9%85%d8%af%d8%ae%d9%84-%d8%ae%d8%a7%d8%b5-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
دابوق,روف,500,350000,700,السوق المفتوح,دابوق قرب القصور الملكيه روف دبلكس 500م مع التراسات فخم جدا واطلاله شبه فيلا مستقل,
دابوق,روف,340,270000,794,قوشان,رووف بإطلالة مميزة وتشطيبات خاصة في دابوق,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%88%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d8%ae%d8%a7%d8%b5%d8%a9-%d9%81%d9%8a-%d8%af%d8%a7/
دابوق,روف,331,265000,801,قوشان,رووف مفروش بالكامل في أرقى مناطق دابوق,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d9%85%d9%81%d8%b1%d9%88%d8%b4-%d8%a8%d8%a7%d9%84%d9%83%d8%a7%d9%85%d9%84-%d9%81%d9%8a-%d8%a3%d8%b1%d9%82%d9%89-%d9%85%d9%86%d8%a7%d8%b7%d9%82-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
دابوق,روف,340,275000,809,قوشان,رووف طابقي 3 نوم بأجمل إطلالة في دابوق,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a-3-%d9%86%d9%88%d9%85-%d8%a8%d8%a3%d8%ac%d9%85%d9%84-%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
دابوق,روف,410,350000,854,قوشان,رووف طابقي 5 غرف نوم مميز في دابوق,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a-5-%d8%ba%d8%b1%d9%81-%d9%86%d9%88%d9%85-%d9%85%d9%85%d9%8a%d8%b2-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
دابوق,روف,200,190000,950,قوشان,رووف 200 متر مع تراسات 150 متر في دابوق,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-200-%d9%85%d8%aa%d8%b1-%d9%85%d8%b9-%d8%aa%d8%b1%d8%a7%d8%b3%d8%a7%d8%aa-150-%d9%85%d8%aa%d8%b1-%d9%81%d9%8a-%d8%af%d8%a7%d8%a8%d9%88%d9%82/
